##decision_pw  state_pw  offline_time_budget  online_budget  num_stock  num_timesteps  average_cumulated_reward  cumulated_reward_standard_deviation  average_computation_time  computation_time_standard_deviation
0.000000000 0.000000000 1.000000000 1000.000000000 21 12 -233845.072628938 64676.596399128 394 57
0.000000000 0.100000000 1.000000000 1000.000000000 21 12 -205586.314288075 45295.706308619 665 101
0.000000000 0.250000000 1.000000000 1000.000000000 21 12 -200750.863275736 40746.600328757 927 132
0.000000000 0.400000000 1.000000000 1000.000000000 21 12 -206379.163024675 46732.669413268 1043 175
0.000000000 0.500000000 1.000000000 1000.000000000 21 12 -208144.704151095 47850.513756799 1114 186
0.000000000 0.600000000 1.000000000 1000.000000000 21 12 -211130.677836075 51302.651783862 1112 204
0.000000000 0.750000000 1.000000000 1000.000000000 21 12 -218552.481746327 56188.778501247 1255 226
0.000000000 0.900000000 1.000000000 1000.000000000 21 12 -235121.178595437 64376.445335252 1366 180
0.000000000 1.000000000 1.000000000 1000.000000000 21 12 -236531.666872554 64490.014092919 1579 406
0.100000000 0.000000000 1.000000000 1000.000000000 21 12 -200995.288770142 40653.116087574 446 71
0.100000000 0.100000000 1.000000000 1000.000000000 21 12 -198330.324526529 40884.973797817 818 132
0.100000000 0.250000000 1.000000000 1000.000000000 21 12 -200598.643527195 42924.738279246 991 168
0.100000000 0.400000000 1.000000000 1000.000000000 21 12 -203257.478151351 47711.239236433 1079 194
0.100000000 0.500000000 1.000000000 1000.000000000 21 12 -205390.484757138 49210.784008462 1102 204
0.100000000 0.600000000 1.000000000 1000.000000000 21 12 -206252.508186327 50293.665078422 1170 216
0.100000000 0.750000000 1.000000000 1000.000000000 21 12 -215392.345770627 55926.593907662 1205 222
0.100000000 0.900000000 1.000000000 1000.000000000 21 12 -218035.758991538 58522.090687311 1352 190
0.100000000 1.000000000 1.000000000 1000.000000000 21 12 -224180.694643902 59664.457778981 1580 392
0.250000000 0.000000000 1.000000000 1000.000000000 21 12 -197992.768356703 35136.458647119 657 122
0.250000000 0.100000000 1.000000000 1000.000000000 21 12 -192920.723942488 31272.002095831 915 123
0.250000000 0.250000000 1.000000000 1000.000000000 21 12 -191152.535673728 35629.209919812 1033 148
0.250000000 0.400000000 1.000000000 1000.000000000 21 12 -189025.655464580 36422.111060136 1093 167
0.250000000 0.500000000 1.000000000 1000.000000000 21 12 -189471.184450901 35972.870130160 1126 174
0.250000000 0.600000000 1.000000000 1000.000000000 21 12 -193349.104702217 41271.430145077 1166 199
0.250000000 0.750000000 1.000000000 1000.000000000 21 12 -203790.252505644 47278.266574561 1196 225
0.250000000 0.900000000 1.000000000 1000.000000000 21 12 -209067.034678279 49478.597063479 1336 204
0.250000000 1.000000000 1.000000000 1000.000000000 21 12 -209803.492583139 49994.287319528 1468 271
0.400000000 0.000000000 1.000000000 1000.000000000 21 12 -207453.727892323 39609.595406478 822 198
0.400000000 0.100000000 1.000000000 1000.000000000 21 12 -207011.058145573 42780.758775920 1020 188
0.400000000 0.250000000 1.000000000 1000.000000000 21 12 -203218.444695780 41493.450085786 1100 206
0.400000000 0.400000000 1.000000000 1000.000000000 21 12 -193700.657657473 37555.196063619 1135 205
0.400000000 0.500000000 1.000000000 1000.000000000 21 12 -191356.542711932 38059.963338402 1162 194
0.400000000 0.600000000 1.000000000 1000.000000000 21 12 -196185.923228880 40904.860022003 1192 222
0.400000000 0.750000000 1.000000000 1000.000000000 21 12 -232683.528896475 45376.724388308 1716 696
0.400000000 0.900000000 1.000000000 1000.000000000 21 12 -242417.771060274 42708.233952529 1913 846
0.400000000 1.000000000 1.000000000 1000.000000000 21 12 -249570.817596404 36357.813780708 2101 705
0.500000000 0.000000000 1.000000000 1000.000000000 21 12 -215761.357660140 39356.043232769 927 194
0.500000000 0.100000000 1.000000000 1000.000000000 21 12 -221592.455326892 42182.574927979 1146 270
0.500000000 0.250000000 1.000000000 1000.000000000 21 12 -211803.565168928 42799.699003545 1189 302
0.500000000 0.400000000 1.000000000 1000.000000000 21 12 -204950.260589042 41847.193953425 1284 289
0.500000000 0.500000000 1.000000000 1000.000000000 21 12 -192311.600157025 37609.624636336 1049 190
0.500000000 0.600000000 1.000000000 1000.000000000 21 12 -178229.190279976 20715.014293692 974 89
0.500000000 0.750000000 1.000000000 1000.000000000 21 12 -228286.226046582 42363.491787090 1735 722
0.500000000 0.900000000 1.000000000 1000.000000000 21 12 -234848.940669388 40376.384366191 1852 891
0.500000000 1.000000000 1.000000000 1000.000000000 21 12 -247245.180281868 31507.465433094 2176 847
0.600000000 0.000000000 1.000000000 1000.000000000 21 12 -225320.496689777 38504.552391716 1128 294
0.600000000 0.100000000 1.000000000 1000.000000000 21 12 -224915.287078717 39192.744987311 1301 390
0.600000000 0.250000000 1.000000000 1000.000000000 21 12 -217020.187241683 39290.932650537 1328 441
0.600000000 0.400000000 1.000000000 1000.000000000 21 12 -214946.260621189 40565.783980233 1382 465
0.600000000 0.500000000 1.000000000 1000.000000000 21 12 -215415.563157509 40202.188316617 1433 509
0.600000000 0.600000000 1.000000000 1000.000000000 21 12 -213857.311244109 40481.702678764 1469 551
0.600000000 0.750000000 1.000000000 1000.000000000 21 12 -221743.158434340 41875.757036875 1675 716
0.600000000 0.900000000 1.000000000 1000.000000000 21 12 -227318.615247250 38985.049665901 1788 775
0.600000000 1.000000000 1.000000000 1000.000000000 21 12 -242209.024062691 29980.498805922 2228 985
0.750000000 0.000000000 1.000000000 1000.000000000 21 12 -235695.368216642 34658.053573520 1582 626
0.750000000 0.100000000 1.000000000 1000.000000000 21 12 -235774.528481227 32906.430757961 1785 708
0.750000000 0.250000000 1.000000000 1000.000000000 21 12 -222908.015846378 35648.774109297 1546 594
0.750000000 0.400000000 1.000000000 1000.000000000 21 12 -223471.321573971 34096.315837080 1611 662
0.750000000 0.500000000 1.000000000 1000.000000000 21 12 -218490.157899512 36006.646217604 1575 561
0.750000000 0.600000000 1.000000000 1000.000000000 21 12 -215133.799865556 36153.798550676 1526 575
0.750000000 0.750000000 1.000000000 1000.000000000 21 12 -221448.657323519 35629.334269247 1737 727
0.750000000 0.900000000 1.000000000 1000.000000000 21 12 -240879.952411287 24855.540169055 2250 1038
0.750000000 1.000000000 1.000000000 1000.000000000 21 12 -245075.446176826 18986.740232967 2447 941
0.900000000 0.000000000 1.000000000 1000.000000000 21 12 -320011.202795289 16014.896512389 2383 1144
0.900000000 0.100000000 1.000000000 1000.000000000 21 12 -321141.714533299 14817.402278909 2555 1242
0.900000000 0.250000000 1.000000000 1000.000000000 21 12 -321112.161107672 15372.705230546 2636 1017
0.900000000 0.400000000 1.000000000 1000.000000000 21 12 -320728.817283252 15346.148007030 2625 1054
0.900000000 0.500000000 1.000000000 1000.000000000 21 12 -321815.262515704 14171.614915784 2626 1188
0.900000000 0.600000000 1.000000000 1000.000000000 21 12 -321294.967140538 14943.865805726 2555 1173
0.900000000 0.750000000 1.000000000 1000.000000000 21 12 -321295.308798044 14327.384885171 2577 1154
0.900000000 0.900000000 1.000000000 1000.000000000 21 12 -320713.444535687 14360.492912289 2605 1075
0.900000000 1.000000000 1.000000000 1000.000000000 21 12 -321742.031964550 15156.536970527 2529 1242
1.000000000 0.000000000 1.000000000 1000.000000000 21 12 -321037.202207074 15088.694058813 2844 1329
1.000000000 0.100000000 1.000000000 1000.000000000 21 12 -321401.091592711 14609.212613446 2770 1339
1.000000000 0.250000000 1.000000000 1000.000000000 21 12 -321146.402620042 14757.402028746 2792 1286
1.000000000 0.400000000 1.000000000 1000.000000000 21 12 -321774.116565854 14716.286573831 2816 1385
1.000000000 0.500000000 1.000000000 1000.000000000 21 12 -320491.993001808 15126.468671841 2892 1076
1.000000000 0.600000000 1.000000000 1000.000000000 21 12 -320772.043805498 15089.299370944 2880 1270
1.000000000 0.750000000 1.000000000 1000.000000000 21 12 -320556.159106722 14950.580829203 2811 1369
1.000000000 0.900000000 1.000000000 1000.000000000 21 12 -321821.855677357 14703.161708588 2821 1238
1.000000000 1.000000000 1.000000000 1000.000000000 21 12 -321908.211849751 14700.151743506 2822 1229
